head_word,is_primary,is_middle,is_high,is_zhongkao,is_gaokao,is_cet4,is_cet6,is_kaoyan,is_ielts,is_toefl,is_gre,is_gmat,is_sat,is_bec,is_level4,is_level8,is_phonetic_filled,phonetic_source
activism,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,origin
activist,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,origin
activity,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,origin
actor,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,origin
actress,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,origin
actual,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,origin
actuality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,origin
actually,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,origin
actuals,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,fuzzy:actual
actuary,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,origin
actuate,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,origin
acuity,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,origin
acumen,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,origin
acupressure,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,origin
acupuncture,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,origin
acute,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,origin
acutely,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,origin
ad,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,origin
adage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,origin
adagio,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,origin
adamant,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,origin
adapt,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,origin
adapt to,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,origin
adaptability,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,origin
adaptable,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,origin
adaptation,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,origin
adapted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,origin
adapter,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,origin
adaptive,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,origin
add,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,origin
add up,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,origin
add-on,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,origin
addendum,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,origin
addict,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,origin
addicted,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,origin
addicted to,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,fuzzy:addicted
addiction,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,origin
